City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
179,Pangnirtung,CA,2021-12-02 04:05:10,66.1451,-65.7125,-1.16,97,98,6.44
180,Vila Franca Do Campo,PT,2021-12-02 04:06:14,37.7167,-25.4333,62.2,85,33,5.59
181,Ljungby,SE,2021-12-02 04:06:16,56.8332,13.9408,30.61,91,100,22.06
182,Nybro,SE,2021-12-02 04:01:32,56.7446,15.9071,33.42,97,100,21.18
183,Leningradskiy,RU,2021-12-02 04:06:20,69.3833,178.4167,-13.95,86,100,2.93
184,Arlit,NE,2021-12-02 04:06:22,18.7369,7.3853,63.82,22,2,0.98
185,Lompoc,US,2021-12-02 04:06:23,34.6391,-120.4579,66.52,100,90,0.0
186,Vao,NC,2021-12-02 04:06:23,-22.6667,167.4833,76.91,78,59,16.06
187,Okhotsk,RU,2021-12-02 04:06:25,59.3833,143.3,4.73,86,100,28.68
188,Tessalit,ML,2021-12-02 04:06:26,20.1986,1.0114,69.39,18,34,8.68
189,Fairbanks,US,2021-12-02 04:02:52,64.8378,-147.7164,-3.69,74,100,3.09
190,Nantucket,US,2021-12-02 04:02:10,41.2835,-70.0995,46.51,67,75,3.44
191,Clyde River,CA,2021-12-02 04:06:30,70.4692,-68.5914,7.03,85,100,20.71
192,Taoudenni,ML,2021-12-02 04:06:32,22.6783,-3.9836,65.44,16,100,9.4
193,Anchorage,US,2021-12-02 04:05:43,61.2181,-149.9003,19.85,91,90,4.61
194,Takoradi,GH,2021-12-02 04:06:33,4.8845,-1.7554,79.0,85,57,6.38
195,Sao Jose Da Coroa Grande,BR,2021-12-02 04:06:35,-8.8978,-35.1478,78.75,82,95,10.07
196,Cherskiy,RU,2021-12-02 04:06:37,68.75,161.3,-35.5,100,52,3.6
197,Bardiyah,LY,2021-12-02 04:06:39,31.7561,25.0865,57.92,62,70,11.14
198,Soyo,AO,2021-12-02 04:06:40,-6.1349,12.3689,77.49,88,99,4.12
199,Khani,GE,2021-12-02 04:06:41,41.9563,42.9566,33.37,97,95,1.21
200,Port Lincoln,AU,2021-12-02 04:06:43,-34.7333,135.8667,64.26,56,27,18.63
201,Tura,IN,2021-12-02 04:06:45,25.5198,90.2201,75.54,49,9,2.77
202,Nabire,ID,2021-12-02 04:06:46,-3.3667,135.4833,81.52,82,100,0.89
203,Evensk,RU,2021-12-02 04:06:48,61.95,159.2333,5.58,88,100,33.11
204,Syracuse,IT,2021-12-02 04:04:56,37.0881,15.2792,57.31,78,3,9.04
205,Hofn,IS,2021-12-02 04:06:54,64.2539,-15.2082,29.73,96,100,6.2
206,Gimli,CA,2021-12-02 04:06:57,50.6336,-96.9907,31.42,91,64,11.48
207,Flin Flon,CA,2021-12-02 04:06:58,54.7682,-101.865,8.22,91,100,5.95
208,Tuensang,IN,2021-12-02 04:07:00,26.2833,94.8333,73.18,45,98,1.88
209,Santa Cruz Cabralia,BR,2021-12-02 04:05:23,-16.2781,-39.0247,77.23,94,90,5.75
210,Mahebourg,MU,2021-12-02 04:07:06,-20.4081,57.7,83.25,69,75,11.5
211,Hasaki,JP,2021-12-02 04:07:07,35.7333,140.8333,57.29,33,0,10.98
212,Honiara,SB,2021-12-02 04:07:09,-9.4333,159.95,83.64,78,89,1.7
213,Muros,ES,2021-12-02 04:07:10,42.7762,-9.0603,52.84,93,96,17.34
214,Lillooet,CA,2021-12-02 04:07:11,50.6856,-121.942,47.12,97,98,4.65
215,Dubbo,AU,2021-12-02 04:07:11,-32.25,148.6167,84.33,45,40,9.22
216,Kaeo,NZ,2021-12-02 04:07:13,-35.1,173.7833,68.32,90,100,9.95
217,Pacific Grove,US,2021-12-02 04:07:16,36.6177,-121.9166,63.43,56,1,1.01
218,Ulladulla,AU,2021-12-02 04:07:18,-35.35,150.4667,87.76,63,17,12.68
219,Marienburg,PL,2021-12-02 04:07:19,54.0359,19.0266,41.85,76,100,26.22
220,Jodhpur,IN,2021-12-02 04:07:22,26.2867,73.03,71.08,28,99,8.21
221,Taranagar,IN,2021-12-02 04:07:22,28.6709,75.0351,68.99,24,100,2.44
222,Aswan,EG,2021-12-02 04:07:24,24.0934,32.907,61.16,58,39,11.74
223,Sur,OM,2021-12-02 04:07:27,22.5667,59.5289,75.72,53,0,3.83
224,Lasa,IT,2021-12-02 04:07:28,46.6166,10.7002,35.02,96,100,3.11
225,San Vicente,AR,2021-12-02 04:07:29,-26.6167,-54.1333,62.92,65,76,2.75
226,Meulaboh,ID,2021-12-02 04:07:30,4.1363,96.1285,82.38,72,45,6.17
227,Lardos,GR,2021-12-02 04:07:32,36.0942,28.0157,54.95,66,0,6.17
228,Camacupa,AO,2021-12-02 04:07:34,-12.0167,17.4833,61.48,98,100,3.49
229,Puerto Colombia,CO,2021-12-02 04:04:29,10.9878,-74.9547,80.69,84,98,22.26
230,Nuuk,GL,2021-12-02 04:07:38,64.1835,-51.7216,30.18,97,100,26.4
231,Sheridan,US,2021-12-02 04:05:07,44.8333,-106.9173,64.78,26,1,1.99
232,Rio Grande,BR,2021-12-02 04:07:40,-32.035,-52.0986,62.94,69,79,9.35
233,Bambanglipuro,ID,2021-12-02 04:07:45,-7.95,110.2833,85.14,69,87,8.97
234,Machala,EC,2021-12-02 04:07:46,-3.2667,-79.9667,71.02,86,69,3.24
235,Chuy,UY,2021-12-02 04:07:49,-33.6971,-53.4616,57.6,78,14,4.99
236,Atar,MR,2021-12-02 04:07:51,20.5169,-13.0499,68.88,14,100,9.86
237,Bandarbeyla,SO,2021-12-02 04:07:53,9.4942,50.8122,76.3,62,0,14.0
238,Athabasca,CA,2021-12-02 04:07:55,54.7169,-113.2854,28.33,89,71,3.11
239,Lokosovo,RU,2021-12-02 04:07:57,61.1333,74.8167,35.73,80,100,16.51
240,Guerrero Negro,MX,2021-12-02 04:07:59,27.9769,-114.0611,63.73,84,20,9.28
241,Okha,RU,2021-12-02 04:08:01,53.5739,142.9478,20.12,86,100,42.68
242,Yerbogachen,RU,2021-12-02 04:08:03,61.2767,108.0108,-15.47,93,93,3.98
243,Batagay,RU,2021-12-02 04:08:05,67.6333,134.6333,-45.42,100,89,1.1
244,Rtishchevo,RU,2021-12-02 04:08:05,52.2604,43.7874,29.19,89,100,13.56
245,Carutapera,BR,2021-12-02 04:08:06,-1.195,-46.02,79.12,81,93,6.22
246,Praia Da Vitoria,PT,2021-12-02 04:08:08,38.7333,-27.0667,59.76,94,77,5.14
247,Oranjemund,NA,2021-12-02 04:08:10,-28.55,16.4333,59.02,92,53,13.4
248,Vavoua,CI,2021-12-02 04:08:12,7.3819,-6.4778,74.55,79,72,2.44
249,San Martin,AR,2021-12-02 04:08:14,-33.081,-68.4681,76.6,37,3,4.79
250,Alice Springs,AU,2021-12-02 04:03:24,-23.7,133.8833,98.15,12,2,10.36
251,Ponerihouen,NC,2021-12-02 04:08:18,-21.0833,165.4,80.82,76,97,8.32
252,Tromso,NO,2021-12-02 04:08:20,69.6496,18.957,32.02,51,0,9.22
253,Santa Cruz,BO,2021-12-02 04:08:19,-17.8,-63.1667,72.86,94,96,8.05
254,Behshahr,IR,2021-12-02 04:08:26,36.6923,53.5526,58.84,78,94,12.12
255,Juneau,US,2021-12-02 04:05:38,58.3019,-134.4197,35.6,84,75,6.91
256,Bengkulu,ID,2021-12-02 04:08:30,-3.8004,102.2655,83.66,65,43,8.48
257,Narsaq,GL,2021-12-02 04:08:35,60.9167,-46.05,30.09,98,100,12.3
258,Vossevangen,NO,2021-12-02 04:08:37,60.623,6.4229,23.54,93,51,1.52
259,Isangel,VU,2021-12-02 04:08:37,-19.55,169.2667,82.17,72,90,13.44
260,Thinadhoo,MV,2021-12-02 04:08:39,0.5333,72.9333,82.11,75,72,6.4
261,Julio De Castilhos,BR,2021-12-02 04:08:40,-29.2269,-53.6817,56.95,86,28,10.6
262,Rabo De Peixe,PT,2021-12-02 04:08:41,37.8,-25.5833,61.29,96,20,6.91
263,Tazovskiy,RU,2021-12-02 04:08:42,67.4667,78.7,-6.86,95,100,16.31
264,Zhigansk,RU,2021-12-02 04:08:44,66.7697,123.3711,-40.41,98,66,8.01
265,Husavik,IS,2021-12-02 04:08:48,66.0449,-17.3389,25.56,90,100,14.88
266,Aksu,CN,2021-12-02 04:08:50,41.1231,80.2644,29.97,35,0,1.77
267,Tutoia,BR,2021-12-02 04:05:09,-2.7619,-42.2744,80.67,80,90,10.98
268,Bridlington,GB,2021-12-02 04:08:54,54.0831,-0.1919,37.58,66,71,29.1
269,Garmsar,IR,2021-12-02 04:08:56,35.2182,52.3409,55.04,43,100,3.36
270,Xuddur,SO,2021-12-02 04:09:00,4.1213,43.8894,72.0,81,64,15.14
271,Norman Wells,CA,2021-12-02 04:09:02,65.282,-126.8329,-24.36,96,100,7.0
272,Henties Bay,NA,2021-12-02 04:09:04,-22.116,14.2845,58.86,95,11,3.96
273,Aitape,PG,2021-12-02 04:09:06,-3.1374,142.3475,85.35,70,100,5.57
274,Kayerkan,RU,2021-12-02 04:09:08,69.3497,87.7602,-22.02,96,31,5.53
275,Port Hardy,CA,2021-12-02 04:05:22,50.6996,-127.4199,44.76,77,100,14.72
276,Fukue,JP,2021-12-02 04:09:13,32.6881,128.8419,50.27,64,100,13.15
277,Newport,GB,2021-12-02 04:09:15,51.5877,-2.9984,39.81,84,23,7.07
278,Carnarvon,AU,2021-12-02 04:09:17,-24.8667,113.6333,76.86,48,0,20.02
279,Saldanha,ZA,2021-12-02 04:09:19,-33.0117,17.9442,59.95,79,0,18.1
280,Sechura,PE,2021-12-02 04:09:21,-5.5569,-80.8222,65.89,81,99,7.7
281,Liesveld,NL,2021-12-02 04:09:23,51.9325,4.8319,41.99,91,100,4.0
282,Bell Ville,AR,2021-12-02 04:09:25,-32.6259,-62.6887,61.81,59,0,8.12
283,Kodiak,US,2021-12-02 04:09:27,57.79,-152.4072,17.11,73,90,19.57
284,Ouadda,CF,2021-12-02 04:09:28,8.0777,22.4007,70.56,34,65,4.12
285,Barda,AZ,2021-12-02 04:09:30,40.3744,47.1267,42.08,52,86,7.18
286,Prince Rupert,CA,2021-12-02 04:08:44,54.3161,-130.3201,37.38,70,99,15.48
287,Pochutla,MX,2021-12-02 04:09:35,15.7432,-96.4661,76.05,75,44,3.27
288,Labuan,MY,2021-12-02 04:09:36,5.2767,115.2417,82.06,74,71,4.76
289,Alexandria,EG,2021-12-02 04:09:37,31.2156,29.9553,64.36,59,96,8.52
290,Mehamn,NO,2021-12-02 04:09:39,71.0357,27.8492,31.95,55,40,19.57
291,Saint George,US,2021-12-02 04:06:42,37.1041,-113.5841,55.54,32,1,1.01
292,Tuatapere,NZ,2021-12-02 04:09:43,-46.1333,167.6833,66.81,54,100,6.49
293,Amapa,BR,2021-12-02 04:09:45,1.0,-52.0,72.25,99,100,1.68
